country,province,year,age,region,m,f,t
Belgium,Anvers,1856,0,,6555,6462,13017
Belgium,Anvers,1856,1,,5959,5696,11655
Belgium,Anvers,1856,2,,2634,2493,5127
Belgium,Anvers,1856,3,,4197,4032,8229
Belgium,Anvers,1856,4,,5166,5066,10232
Belgium,Anvers,1856,5,,4748,4616,9364
Belgium,Anvers,1856,6,,4638,4426,9064
Belgium,Anvers,1856,7,,4467,4353,8820
Belgium,Anvers,1856,8,,4275,4130,8405
Belgium,Anvers,1856,9,,4286,3991,8277
Belgium,Anvers,1866,0,,6888,6632,13520
Belgium,Anvers,1866,1,,6205,6178,12383
Belgium,Anvers,1866,2,,5425,5452,10877
Belgium,Anvers,1866,3,,5673,5597,11270
Belgium,Anvers,1866,4,,5106,4890,9996
Belgium,Anvers,1866,5,,5029,4942,9971
Belgium,Anvers,1866,6,,4752,4691,9443
Belgium,Anvers,1866,7,,4884,4783,9667
Belgium,Anvers,1866,8,,4686,4814,9500
Belgium,Anvers,1866,9,,4688,4737,9425
Belgium,Anvers,1880,0,,9205,9022,18227
Belgium,Anvers,1880,1,,8313,8393,16706
Belgium,Anvers,1880,2,,7758,7668,15426
Belgium,Anvers,1880,3,,7778,7661,15439
Belgium,Anvers,1880,4,,7780,7610,15390
Belgium,Anvers,1880,5,,7418,7219,14637
Belgium,Anvers,1880,6,,7107,6964,14071
Belgium,Anvers,1880,7,,7084,7035,14119
Belgium,Anvers,1880,8,,6716,6622,13338
Belgium,Anvers,1880,9,,5981,5661,11642
Belgium,Brabant,1856,0,,11370,11351,22721
Belgium,Brabant,1856,1,,7653,7766,15419
Belgium,Brabant,1856,2,,7117,7125,14242
Belgium,Brabant,1856,3,,8206,8105,16311
Belgium,Brabant,1856,4,,8246,8149,16395
Belgium,Brabant,1856,5,,8171,7968,16139
Belgium,Brabant,1856,6,,8217,7962,16179
Belgium,Brabant,1856,7,,8068,8063,16131
Belgium,Brabant,1856,8,,7677,7223,14900
Belgium,Brabant,1856,9,,7012,7030,14042
Belgium,Brabant,1866,0,,12114,12562,24676
Belgium,Brabant,1866,1,,10716,10511,21227
Belgium,Brabant,1866,2,,9818,9613,19431
Belgium,Brabant,1866,3,,9370,9431,18801
Belgium,Brabant,1866,4,,8769,8831,17600
Belgium,Brabant,1866,5,,8954,8709,17663
Belgium,Brabant,1866,6,,8561,8672,17233
Belgium,Brabant,1866,7,,8821,8697,17518
Belgium,Brabant,1866,8,,8427,8610,17037
Belgium,Brabant,1866,9,,8362,8221,16583
Belgium,Brabant,1880,0,,13536,13475,27011
Belgium,Brabant,1880,1,,12198,12472,24670
Belgium,Brabant,1880,2,,13247,12124,25371
Belgium,Brabant,1880,3,,12925,11569,24494
