partido,province,pob1860,nac_est_m,nac_trans_m,ext_est_m,ext_trans_m,population_m,singles_m,married_m,widows_m,pop_1_m,pop_1_5_m,pop_6_10_m,pop_11_15_m,pop_16_19_m,pop_20_m,pop_21_m,pop_22_m,pop_23_m,pop_24_m,pop_25_m,pop_26_30_m,pop_31_40_m,pop_41_50_m,pop_51_60_m,pop_61_70_m,pop_71_80_m,pop_81_85_m,pop_86_90_m,pop_91_95_m,pop_96_100_m,pop_100_m,read_m,read_writ_m,illiterate_m,nac_est_f,nac_trans_f,ext_est_f,ext_trans_f,population_f,singles_f,married_f,widows_f,pop_1_f,pop_1_5_f,pop_6_10_f,pop_11_15_f,pop_16_19_f,pop_20_f,pop_21_f,pop_22_f,pop_23_f,pop_24_f,pop_25_f,pop_26_30_f,pop_31_40_f,pop_41_50_f,pop_51_60_f,pop_61_70_f,pop_71_80_f,pop_81_85_f,pop_86_90_f,pop_91_95_f,pop_96_100_f,pop_100_f,read_f,read_writ_f,illiterate_f
Aguilar,Córdoba,23921,11094,860,3,2,11959,6719,4673,567,312,1341,1219,1351,886,251,130,209,153,175,168,1134,1810,1286,896,490,122,15,7,4,0,0,264,2081,9614,11468,492,2,0,11962,6418,4403,1141,339,1268,1237,1298,1036,314,152,255,172,183,182,1106,1681,1159,859,507,178,23,9,2,2,0,412,957,10593
Alba de Tormes,Salamanca,20523,9931,380,5,17,10333,6071,3824,438,275,1380,1308,1152,675,194,143,142,131,170,188,727,1605,1152,559,411,95,18,7,1,0,0,734,4240,5359,10088,71,1,0,10160,5613,3817,730,310,1261,1262,1123,692,205,152,197,169,193,158,756,1568,1061,559,364,108,13,7,1,0,1,854,817,8489
Albacete,Albacete,24972,12019,241,11,3,12274,6890,4877,507,417,1434,1255,1368,878,219,145,156,192,215,218,1116,1941,1323,742,448,163,31,10,2,1,0,362,2881,9031,12601,92,5,0,12698,6793,4813,1092,442,1426,1245,1387,964,284,168,224,199,247,196,1189,1890,1318,792,476,195,34,15,5,2,0,372,1130,11196
Albaida,Valencia,28736,14120,207,3,0,14330,8057,5602,671,421,1918,1434,1405,975,307,241,259,250,257,243,1139,1938,1519,1162,625,191,31,14,1,0,0,390,2378,11562,14234,170,2,0,14406,7536,5660,1210,388,1722,1442,1429,1115,342,214,308,266,261,232,1231,1858,1531,1163,636,225,33,9,1,0,0,624,580,13202
Albarracín,Teruel,23469,10650,321,0,0,10971,6331,4058,582,416,1679,1330,1230,665,159,82,117,118,125,154,754,1508,1085,848,533,142,16,7,3,0,0,391,3837,6743,12358,140,0,0,12498,6369,5169,960,389,1570,1337,1279,892,246,147,212,171,213,213,1114,1827,1311,940,500,120,13,3,0,1,0,292,449,11757
Alberique,Valencia,14739,7130,308,2,6,7446,4262,2879,305,221,988,820,839,598,151,95,121,132,112,123,638,1190,737,448,192,33,5,2,1,0,0,163,1158,6125,7114,179,0,0,7293,3685,2835,773,215,958,804,779,593,165,98,130,111,161,105,675,1085,722,444,201,41,3,3,0,0,0,189,269,6835
Albocázer,Castellón,22492,11210,171,2,0,11383,6242,4650,491,345,1523,1279,1173,800,232,124,127,136,153,183,996,1705,1128,832,502,127,9,6,1,2,0,254,1400,9729,11017,92,0,0,11109,5706,4627,776,316,1429,1281,1135,800,273,97,179,151,219,194,951,1544,1134,848,425,111,17,4,1,0,0,137,129,10843
Alburquerque,Badajoz,19243,9115,571,65,45,9796,5770,3603,423,276,1243,1203,1107,689,219,113,156,159,162,176,819,1524,962,589,302,82,9,3,3,0,0,202,1820,7774,9256,144,45,2,9447,5064,3564,819,250,1150,1130,1034,746,237,128,178,160,211,187,827,1333,888,562,299,100,21,3,1,2,0,270,585,8592
Albuñol,Granada,28959,13843,202,0,0,14045,8616,5013,416,395,2072,1892,1761,1006,285,163,216,201,167,179,1016,1878,1335,901,444,109,13,9,0,2,1,323,2454,11268,14811,103,0,0,14914,8327,5315,1272,399,1905,1707,1693,1166,420,196,245,232,288,260,1292,2017,1433,971,515,136,22,13,4,0,0,348,624,13942
Alcalá de Guadaira,Sevilla,22542,10818,796,4,13,11631,6674,4417,540,373,1364,1206,1135,775,226,130,194,185,182,230,1176,1917,1154,816,466,80,13,5,4,0,0,464,2060,9107,10719,187,2,3,10911,5758,4237,916,287,1337,1215,1163,825,281,130,195,152,188,175,1040,1567,1047,787,409,89,13,10,1,0,0,508,863,9540
