partido,province,maestros,maestras,sch_boys,sch_girls,read_m,read_f,read_writ_m,read_writ_f,illiterate_m,illiterate_f
Aguilar,Córdoba,6,4,354,274,264,412,2081,957,9614,10593
Alba de Tormes,Salamanca,51,10,1664,958,734,854,4240,817,5359,8489
Albacete,Albacete,15,24,803,623,362,372,2881,1130,9031,11196
Albaida,Valencia,18,18,1020,1211,390,624,2378,580,11562,13202
Albarracín,Teruel,45,33,1639,1286,391,292,3837,449,6743,11757
Alberique,Valencia,9,15,462,554,163,189,1158,269,6125,6835
Albocázer,Castellón,11,10,604,698,254,137,1400,129,9729,10843
Alburquerque,Badajoz,11,9,770,459,202,270,1820,585,7774,8592
Albuñol,Granada,24,13,1324,861,323,348,2454,624,11268,13942
Alcalá de Guadaira,Sevilla,12,8,739,731,464,508,2060,863,9107,9540
Alcalá de Henares,Madrid,43,21,1707,1065,802,813,6814,1991,10908,12426
Alcalá la Real,Jaén,9,14,675,652,1181,942,1997,979,11807,12916
Alcaraz,Albacete,26,26,968,759,356,292,2439,580,13616,15165
Alcañices,Zamora,63,3,2070,363,1107,145,4453,160,9831,15554
Alcañiz,Teruel,13,19,1161,995,667,637,3167,817,7973,10650
Alcira,Valencia,18,16,1033,1358,312,365,2025,434,16919,17834
Alcoy,Alicante,11,13,600,527,360,306,2864,897,11386,14056
Alcántara,Cáceres,13,13,643,382,240,236,2558,954,7378,8477
Alcázar de San Juan,Ciudad Real,18,12,1488,958,843,621,3587,953,14023,17459
Alfaro,Logroño,6,5,420,360,93,136,1626,697,2755,3721
Algeciras,Cádiz,14,10,761,641,373,647,4547,2437,11819,10256
Alhama,Granada,14,12,709,532,135,115,1130,485,7134,7527
Aliaga,Teruel,44,29,1531,1292,398,180,3531,287,5481,9473
Alicante,Alicante,24,29,1327,1000,546,711,5794,2390,15060,18755
Allariz,Orense,31,5,1421,738,805,507,4452,354,10837,16637
Almadén,Ciudad Real,17,7,874,659,255,415,2594,782,5904,7082
Almagro,Ciudad Real,9,8,778,462,312,423,2539,811,8631,10436
Almansa,Albacete,7,7,492,395,214,254,2674,1018,6371,8239
Almazán,Soria,85,7,1967,1001,771,1429,7749,789,5804,12037
Almendralejo,Badajoz,24,18,1699,1326,580,909,3901,1660,14875,15251
Almería,Almería,28,41,767,530,479,571,5002,2102,18585,22439
Almodóvar del Campo,Ciudad Real,27,19,1237,930,341,303,4027,817,10959,11901
Almunia de Doña Godina,Zaragoza,39,20,1409,997,250,172,4234,940,14572,17292
Amurrio,Álava,53,5,1416,1086,582,1190,5335,1394,4416,6904
Andújar,Jaén,15,15,1293,909,609,939,4033,1539,14599,16154
Antequera,Málaga,12,12,799,829,333,413,2970,1422,14201,15428
Aoiz,Navarra,134,22,3959,2865,1414,2722,10783,3401,13897,18343
Aracena,Huelva,42,17,1832,1270,835,1546,6289,2339,17185,19818
Aranda de Duero,Burgos,42,13,2276,1081,517,1421,7951,1350,6701,11966
Archidona,Málaga,11,12,729,685,301,408,1972,822,10637,11138
Arcos,Cádiz,17,8,1102,809,545,804,3445,1630,13052,13142
Arenas de San Pedro,Ávila,21,17,1414,845,504,763,3461,777,9110,11105
Arenys de Mar,Barcelona,17,14,1716,859,401,663,5345,1746,12395,16355
Arnedo,Logroño,32,11,1311,740,502,382,4248,1072,5555,9234
Arzúa,Coruña,48,0,1121,196,1193,434,6682,359,14023,24316
Arévalo,Ávila,62,9,2151,1504,960,1785,6847,1981,6255,10239
Astorga,León,99,8,3118,717,1568,939,10587,1321,10640,22857
Astudillo,Palencia,26,11,1448,828,653,868,5194,1055,5120,8762
Ateca,Zaragoza,43,25,1445,821,442,299,4136,651,11883,15119
Atienza,Guadalajara,68,8,1340,558,550,625,5153,540,6481,10246
Avilés,Oviedo,38,15,1911,714,836,1331,5375,1976,6310,13581
Ayamonte,Huelva,13,11,776,560,237,569,2500,1135,7950,9314
Ayora,Valencia,9,9,428,373,153,160,1108,301,6819,7485
Azpeitia,Guipuzcoa,31,15,1456,997,2731,4035,3672,1680,12236,12472
Badajoz,Badajoz,25,30,1152,917,567,555,4544,2168,9442,8602
Baena,Córdoba,9,4,676,742,214,343,1591,748,8271,8739
Baeza,Jaén,16,21,1443,1255,507,716,4021,1383,15202,17168
Balaguer,Lérida,49,22,2058,1240,1448,501,6209,918,24613,27677
Baltanás,Palencia,31,11,1506,677,621,621,4934,695,4408,8370
Bande,Orense,23,2,982,480,749,215,3167,188,8546,14479
Barbastro,Huesca,38,26,1459,1082,491,406,5200,1146,12412,15692
Barcelona,Barcelona,235,145,5038,2712,3991,5537,62378,26593,65593,99643
Barco de Ávila,Ávila,28,7,1176,490,861,569,2359,419,5730,8189
Baza,Granada,13,15,777,554,158,147,2273,665,13785,15207
Becerrea,Lugo,18,1,871,182,323,132,5726,246,11089,17101
Belchite,Zaragoza,24,15,885,816,331,143,2029,325,7263,9218
Belmonte,Cuenca,33,22,1373,1095,678,833,4287,999,10513,14186
Belmonte (Asturias),Oviedo,54,4,1459,221,942,545,6124,594,7999,17491
Belorado,Burgos,53,3,1410,963,549,1462,5173,1060,3934,6876
Benabarre,Huesca,47,7,1213,343,306,77,2915,335,13653,15648
Benavente,Zamora,69,18,2833,1538,1114,1150,8655,1358,8152,15417
Berga,Barcelona,18,10,1191,884,813,454,4528,969,13736,17527
Berja,Almería,17,7,660,312,194,94,2259,782,17417,19184
Bermillo de Sayago,Zamora,52,10,1735,1045,1215,1388,5440,939,8074,12789
Betanzos,Coruña,39,7,1482,505,919,324,6180,943,15272,24310
Bilbao,Vizcaya,55,43,2449,1684,1174,2216,10388,6175,11872,17589
Boltaña,Huesca,44,6,1400,231,600,131,4575,291,11360,15530
Borja,Zaragoza,28,18,1087,715,272,213,2985,902,11274,12706
Bribiesca,Burgos,73,9,1849,1180,714,1542,7271,1285,6300,11600
