partido,province,ecles,asist_misa,monjes,monjas,emp_act,emp_jub,milit_act,milit_ret,navy_act,navy_mat,seemen_cap,seemen_sai,cat_prof,mae_part,maestros,maestras,sch_boys,sch_girls,col_1_2,est_2_ens,est_sup,est_car_esp,abogados,esc_nota,procura,med_cir,botica,vets,arts,arc_obras,agronomists,landlords,tenants,comercio,fabricantes,indus_male,indus_fem,ferroc,artes_male,artes_fem,miners,obre_male,obre_fem,farmlab,serv_male,serv_fem,poor_male,poor_fem,sor_mud_male,sord_mud_fem,cie_imp_male,cie_imp_fem
Aguilar,Córdoba,76,33,0,33,82,13,39,19,0,1,0,0,0,5,6,4,354,274,25,1,2,1,12,6,4,9,7,9,9,2,7,958,226,43,6,389,24,0,992,32,1,0,2,4729,454,597,28,77,1,0,78,29
Alba de Tormes,Salamanca,53,56,0,38,122,4,49,0,0,0,0,0,0,0,51,10,1664,958,3,35,0,2,10,3,4,25,3,7,0,1,1,3047,795,38,10,423,10,0,265,29,6,19,0,1747,2067,706,159,286,4,5,28,14
Albacete,Albacete,22,13,2,7,316,24,123,12,0,0,0,0,11,1,15,24,803,623,11,93,16,4,47,8,31,25,6,16,4,5,10,2692,542,181,13,485,211,67,1023,14,3,348,4,2464,1756,868,100,195,4,7,143,56
Albaida,Valencia,83,14,0,38,54,0,25,2,0,0,0,0,0,0,18,18,1020,1211,2,59,13,0,18,12,6,29,3,6,2,0,1,3392,196,55,45,749,9,0,663,5,4,49,1,5431,198,432,120,271,9,13,50,26
Albarracín,Teruel,78,68,20,40,142,4,77,9,0,0,0,0,6,0,45,33,1639,1286,13,53,5,4,7,6,4,26,13,24,0,0,0,3805,334,44,2,419,30,0,794,0,11,16,0,2528,1001,343,175,366,9,6,100,31
Alberique,Valencia,21,7,0,0,52,0,22,1,0,0,0,0,0,0,9,15,462,554,0,21,6,6,12,5,3,14,3,7,0,1,2,1008,978,27,15,437,54,1,164,3,0,105,1,2321,303,516,31,111,4,1,16,14
Albocázer,Castellón,45,9,0,0,61,1,69,5,0,1,0,5,0,0,11,10,604,698,11,14,0,4,5,6,2,23,7,19,0,0,1,3479,129,15,0,80,6,0,593,2,0,0,0,3456,546,233,58,101,8,5,57,34
Alburquerque,Badajoz,23,8,0,0,43,1,80,12,0,0,0,0,2,0,11,9,770,459,15,19,1,0,10,4,4,10,4,14,0,5,0,1724,2,54,30,500,3,0,642,5,7,97,10,2628,958,413,38,84,12,9,36,11
Albuñol,Granada,39,26,0,0,68,1,95,7,1,17,2,54,2,1,24,13,1324,861,2,26,5,1,12,3,4,17,2,10,3,4,0,2304,577,54,22,709,81,0,317,16,61,5,0,4176,225,493,160,559,22,30,53,54
Alcalá de Guadaira,Sevilla,21,24,0,30,63,3,54,19,0,0,0,0,0,0,12,8,739,731,1,10,2,6,4,5,4,10,4,5,1,0,2,922,212,155,5,970,60,5,611,48,1,23,0,5255,141,430,66,116,5,6,90,47
Alcalá de Henares,Madrid,97,63,8,180,218,25,1294,22,0,0,0,0,3,4,43,21,1707,1065,33,40,12,20,21,23,5,45,20,55,9,1,3,2232,541,108,18,1179,99,30,1222,40,0,96,0,4809,1282,1061,150,366,6,5,51,22
Alcalá la Real,Jaén,54,41,2,70,96,2,27,13,0,0,0,0,0,1,9,14,675,652,7,9,2,5,17,10,4,9,5,17,6,0,7,2337,1183,60,7,481,89,0,703,14,1,6,0,5841,385,537,89,793,5,6,157,49
Alcaraz,Albacete,41,30,1,13,138,13,97,5,0,0,0,0,0,4,26,26,968,759,4,2,2,1,15,8,6,19,4,16,1,4,1,1897,517,57,3,438,11,0,892,115,25,171,4,4352,2169,434,182,387,12,8,164,84
Alcañices,Zamora,90,7,0,0,82,0,160,4,0,0,0,0,0,0,63,3,2070,363,0,14,11,0,4,3,4,14,4,6,0,0,0,3831,426,3,0,235,33,0,386,121,3,4,7,2073,606,521,441,617,16,12,17,16
Alcañiz,Teruel,81,29,8,34,180,33,129,36,0,0,0,0,0,1,13,19,1161,995,5,46,3,0,21,10,4,25,7,20,0,4,3,3003,139,67,13,235,10,0,771,10,0,17,0,3073,568,620,152,378,12,13,42,34
Alcira,Valencia,62,82,8,44,92,11,13,1,0,0,0,0,0,12,18,16,1033,1358,0,20,3,0,27,10,4,33,9,10,0,10,21,3399,1443,110,13,1201,44,26,935,31,0,3,0,6011,750,674,539,796,9,8,55,35
Alcoy,Alicante,54,22,0,27,50,1,50,6,0,2,0,0,8,6,11,13,600,527,7,42,2,7,15,7,3,17,2,5,32,4,0,1654,552,238,258,638,189,0,494,120,1,5484,4656,2586,183,533,141,264,4,2,78,55
Alcántara,Cáceres,45,29,0,2,74,7,111,16,0,0,0,4,0,0,13,13,643,382,5,22,2,6,23,9,4,18,7,20,0,13,3,1374,670,42,8,384,18,0,509,20,0,2,0,3815,317,417,59,441,7,9,44,30
Alcázar de San Juan,Ciudad Real,73,17,0,6,120,2,118,15,0,0,0,0,1,0,18,12,1488,958,7,37,20,8,20,13,3,28,12,29,11,2,7,1564,262,109,10,937,55,180,906,3,1,43,0,4991,1986,694,171,434,7,0,90,32
Alfaro,Logroño,28,15,0,33,37,3,63,7,0,0,0,0,0,0,6,5,420,360,0,5,0,3,13,3,2,9,3,8,0,0,2,536,543,33,2,113,10,4,357,27,0,0,0,1442,218,327,31,183,5,1,14,4
Algeciras,Cádiz,28,46,1,0,191,16,1788,47,1462,222,141,1183,2,12,14,10,761,641,31,10,0,18,8,9,4,43,4,12,23,2,5,1463,308,226,48,1038,83,0,1537,289,11,144,1,3160,577,533,20,34,7,7,55,23
Alhama,Granada,23,24,0,20,79,0,15,2,0,0,0,0,0,0,14,12,709,532,10,12,13,0,7,6,5,4,2,12,0,2,1,2048,814,23,10,424,38,0,195,10,0,9,0,3632,314,245,98,187,2,2,42,20
Aliaga,Teruel,61,53,2,0,54,0,30,8,0,0,0,0,0,0,44,29,1531,1292,0,12,2,4,5,6,3,20,4,19,0,1,1,2360,269,24,1,153,5,0,599,1,50,1,0,2452,583,234,106,247,7,2,51,12
Alicante,Alicante,65,43,0,95,484,68,596,37,70,206,135,1384,16,10,24,29,1327,1000,77,145,21,38,42,12,6,42,10,9,83,12,4,4711,1117,909,10,1388,180,96,3130,498,6,473,3063,4808,409,1468,92,139,9,8,108,77
Allariz,Orense,124,73,1,13,30,0,57,8,0,0,0,0,2,0,31,5,1421,738,0,78,9,0,10,7,4,14,3,6,4,0,15,4018,286,48,8,52,175,0,698,73,0,19,0,4957,444,808,536,968,17,21,87,90
Almadén,Ciudad Real,16,18,0,0,193,27,66,3,0,0,0,0,0,1,17,7,874,659,0,24,0,16,7,4,3,12,5,12,0,0,0,1454,126,14,4,128,22,0,346,0,2025,27,2,1346,548,467,24,83,6,3,34,20
Almagro,Ciudad Real,35,17,0,11,85,4,212,8,0,0,0,0,2,0,9,8,778,462,2,25,15,13,11,7,4,18,5,17,0,1,4,1656,370,96,21,536,162,32,1002,67,0,10,1043,3163,853,471,191,368,5,5,125,54
Almansa,Albacete,41,29,0,22,114,8,48,10,1,0,0,0,0,2,7,7,492,395,7,5,5,1,16,7,6,15,2,6,0,7,1,1556,731,30,17,227,10,118,1042,5,2,22,1,3038,302,379,64,193,1,3,135,42
Almazán,Soria,100,75,0,20,106,3,71,8,0,0,0,0,0,0,85,7,1967,1001,6,44,20,5,8,5,4,39,10,22,0,0,0,2734,2282,42,3,511,34,0,606,51,0,9,0,1456,907,612,208,372,5,7,43,26
Almendralejo,Badajoz,67,18,0,20,180,9,87,31,0,0,0,0,0,0,24,18,1699,1326,9,50,0,4,27,9,6,25,12,36,6,1,1,4640,604,78,31,624,139,5,1173,34,0,15,0,6040,1672,791,81,309,12,5,72,20
Almería,Almería,90,54,2,51,488,84,282,55,21,491,80,309,17,2,28,41,767,530,61,328,11,8,45,12,2,26,10,17,8,9,8,2542,824,450,48,1287,511,0,1958,1018,949,285,3,5044,680,1485,178,545,7,9,143,121
Almodóvar del Campo,Ciudad Real,37,34,0,0,132,5,25,12,0,0,0,0,2,0,27,19,1237,930,6,6,0,2,8,2,4,13,6,17,0,1,4,2102,116,40,21,477,23,0,594,299,164,52,0,3142,3011,431,119,431,15,8,56,41
