partido,province,ayunt,cedulas,ciudades,villas,lugares,aldeas,grupos
Aguilar,Córdoba,3,5353,0,3,0,2,0
Alba de Tormes,Salamanca,47,4893,0,5,54,0,3
Albacete,Albacete,5,5899,0,5,2,3,1
Albaida,Valencia,29,7024,0,7,22,0,2
Albarracín,Teruel,42,6152,1,4,37,4,37
Alberique,Valencia,15,3317,0,4,11,0,0
Albocázer,Castellón,15,5159,0,10,5,0,37
Alburquerque,Badajoz,6,4623,0,6,0,0,3
Albuñol,Granada,14,6582,0,3,15,12,1
Alcalá de Guadaira,Sevilla,4,5250,0,4,0,1,3
Alcalá de Henares,Madrid,39,7490,1,42,7,0,8
Alcalá la Real,Jaén,4,7816,1,3,0,13,1
Alcaraz,Albacete,19,7566,1,17,1,30,3
Alcañices,Zamora,43,6961,0,6,100,0,41
Alcañiz,Teruel,13,5759,1,8,5,0,29
Alcira,Valencia,13,8447,0,4,9,0,1
Alcoy,Alicante,4,7340,1,2,1,0,0
Alcántara,Cáceres,8,5258,0,6,2,0,8
Alcázar de San Juan,Ciudad Real,8,9295,0,8,0,1,0
Alfaro,Logroño,3,2266,1,2,0,0,6
Algeciras,Cádiz,2,6208,2,0,0,1,7
Alhama,Granada,12,4143,1,3,8,2,1
Aliaga,Teruel,34,4548,0,14,20,1,58
Alicante,Alicante,5,9768,1,4,0,0,0
Allariz,Orense,9,8006,0,4,242,104,28
Almadén,Ciudad Real,8,4181,0,8,0,3,0
Almagro,Ciudad Real,6,5671,1,5,0,1,0
Almansa,Albacete,4,4437,1,3,0,1,2
Almazán,Soria,62,7140,0,16,88,0,804
Almendralejo,Badajoz,14,8637,1,13,0,0,2
Almería,Almería,12,11070,1,3,8,3,1
Almodóvar del Campo,Ciudad Real,19,6774,0,17,2,14,2
Almunia de Doña Godina,Zaragoza,31,8739,0,14,18,3,27
Amurrio,Álava,12,3906,0,9,76,6,3
Andújar,Jaén,10,8577,1,9,0,1,0
Antequera,Málaga,6,8409,1,0,5,0,0
Aoiz,Navarra,66,9923,1,41,238,0,112
Aracena,Huelva,30,11612,0,30,0,51,14
Aranda de Duero,Burgos,35,6850,0,33,4,4,6
Archidona,Málaga,8,5995,0,8,0,0,0
Arcos,Cádiz,6,7793,1,5,0,0,9
Arenas de San Pedro,Ávila,19,6522,0,16,5,0,16
Arenys de Mar,Barcelona,23,7553,0,9,10,0,2
Arnedo,Logroño,21,5416,1,14,6,23,406
Arzúa,Coruña,10,9065,0,2,8,1340,18
Arévalo,Ávila,59,6539,0,16,54,0,8
Astorga,León,25,11701,1,11,132,13,19
Astudillo,Palencia,24,5190,0,23,1,3,28
Ateca,Zaragoza,39,8131,0,14,25,0,47
Atienza,Guadalajara,51,5275,0,7,59,0,24
Avilés,Oviedo,6,6351,0,2,219,0,2
Ayamonte,Huelva,10,5271,1,9,0,0,12
Ayora,Valencia,8,3917,0,6,2,2,0
Azpeitia,Guipuzcoa,23,6672,0,21,20,0,2
Badajoz,Badajoz,3,5759,1,2,0,0,0
Baena,Córdoba,3,5306,0,3,0,1,0
Baeza,Jaén,9,9221,1,8,0,0,1
Balaguer,Lérida,49,12250,1,12,95,5,13
Baltanás,Palencia,27,4596,0,27,0,1,27
Bande,Orense,7,6957,0,0,210,60,46
Barbastro,Huesca,35,7505,1,6,40,6,299
Barcelona,Barcelona,13,55493,1,2,12,0,7
Barco de Ávila,Ávila,29,4447,0,3,73,0,11
Baza,Granada,7,7638,1,6,0,6,5
Becerrea,Lugo,6,5376,0,5,2,500,7
Belchite,Zaragoza,21,4950,0,7,14,0,15
Belmonte,Cuenca,26,8628,0,26,0,3,4
Belmonte (Asturias),Oviedo,5,7046,0,5,245,0,166
Belorado,Burgos,37,4551,0,35,24,1,10
Benabarre,Huesca,52,5863,0,13,109,58,62
Benavente,Zamora,58,8223,0,6,79,0,123
Berga,Barcelona,38,7519,0,6,13,6,3
Berja,Almería,6,9314,0,3,4,13,0
Bermillo de Sayago,Zamora,41,7284,0,4,49,2,1
Betanzos,Coruña,10,9815,1,1,8,956,8
Bilbao,Vizcaya,28,11141,0,3,34,155,3
Boltaña,Huesca,58,5378,0,9,169,108,11
Borja,Zaragoza,25,6959,1,13,11,1,27
Bribiesca,Burgos,55,7187,1,84,2,0,3
Brihuega,Guadalajara,51,6282,0,48,3,0,112
Bujalance,Córdoba,5,4014,1,4,0,0,0
Burgo de Osma,Soria,78,8353,1,37,78,7,831
Burgos,Burgos,106,14112,1,43,103,2,9
Béjar,Salamanca,40,8524,1,5,39,0,1
Cabra,Córdoba,4,5363,1,3,0,0,1
Cabuérniga,Santander,7,2684,0,1,31,16,0
Calahorra,Logroño,5,3636,1,4,0,0,106
Calamocha,Teruel,31,4725,0,2,30,0,60
Calatayud,Zaragoza,34,9412,1,13,22,3,52
Caldas,Pontevedra,9,9257,0,2,321,35,20
Callosa de Ensarriá,Alicante,18,7616,0,10,8,0,9
Cambados,Pontevedra,10,10236,0,10,333,129,0
Campillos,Málaga,10,5869,0,6,4,0,1
Cangas de Onís,Oviedo,6,7042,0,4,173,0,123
Cangas de Tineo,Oviedo,4,8883,0,3,491,0,21
Canjáyar,Almería,19,7954,0,7,13,0,2
Caravaca,Murcia,4,8888,1,3,0,6,0
Carballino,Orense,8,10873,0,3,376,182,31
Carballo,Coruña,7,9792,0,4,4,946,7
Carlet,Valencia,11,5043,0,6,5,0,2
Carmona,Sevilla,2,5723,1,1,0,0,7
Carrión de los Condes,Palencia,39,5435,0,26,27,0,8
Cartagena,Murcia,3,14187,1,2,7,11,4
Casas-Ibáñez,Albacete,22,7260,0,15,7,16,2
Caspe,Zaragoza,10,6548,1,7,2,1,10
Castellote,Teruel,23,5931,0,17,6,3,4
Castellón,Castellón,8,8404,1,5,2,0,32
Castro del Río,Córdoba,2,4105,0,2,0,0,0
Castro-Urdiales,Santander,4,2164,0,1,8,24,0
Castrojeriz,Burgos,41,5955,0,33,15,0,6
Castropol,Oviedo,7,9148,0,7,349,0,1
Castuera,Badajoz,11,8306,0,11,0,0,8
Cazalla de la Sierra,Sevilla,9,7616,0,9,0,1,32
Cazorla,Jaén,8,6142,1,7,0,11,1
Cañete,Cuenca,42,6481,0,16,26,7,10
Cebreros,Ávila,20,5799,0,14,10,0,7
Celanova,Orense,12,10045,0,2,333,170,44
Cervera,Lérida,42,8860,1,8,98,3,5
Cervera de Pisuerga,Palencia,50,6725,0,15,153,11,25
Cervera de Río Alhama,Logroño,8,3224,0,6,2,4,122
Chantada,Lugo,7,9511,0,2,5,1198,13
Chelva,Valencia,19,6671,0,11,8,28,1
